Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10U","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",219.800000,-48.000000,90.000000,top
"C2","470n","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",160.800000,-39.487500,270.000000,top
"C3","470n","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",139.000000,-39.400000,90.000000,top
"C4","C1u","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",140.312500,-45.950000,0.000000,top
"C5","C1u","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",159.250000,-45.950000,180.000000,top
"C6","C1u","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",159.200000,-43.600000,0.000000,top
"C9","470n","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",164.400000,-39.400000,90.000000,top
"D1","DIODE","Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering",109.854000,-165.415000,270.000000,top
"D5","D_Schottky","Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering",83.600000,-109.400000,180.000000,top
"G***","LOGO","ColossusLogo2",164.400000,-120.400000,0.000000,top
"G***","LOGO","BitBuiltLogo",137.200000,-87.400000,0.000000,top
"J1","RJ45","RJ45_Floating",124.095500,-93.497500,270.000000,top
"J4","USB_B","USB_A_Custom_Throughhole_MountGuide",86.000000,-39.200000,90.000000,top
"L1","INDUCTOR_33uH","L_12x12mm_H8mm",82.600000,-98.400000,180.000000,top
"P1","PS2_MemCardMount","PS2_MemCardMountPoints",224.597500,-95.529500,0.000000,top
"Q1","2N7000","2N7000_HandSolder",177.800000,-51.800000,90.000000,top
"Q3","2N7000","2N7000_HandSolder",110.600000,-156.000000,0.000000,top
"R1","100K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",183.600000,-56.000000,180.000000,top
"R2","1K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",183.600000,-53.400000,180.000000,top
"R6","1K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",110.000000,-151.800000,180.000000,top
"R7","4.7K","D_2010_5025Metric_Pad1.52x2.65mm_HandSolder",214.700000,-46.950000,180.000000,top
"R17","R10K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",157.000000,-39.487500,90.000000,top
"R18","R10K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",142.000000,-39.312500,270.000000,top
"R19","R10K","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",140.312500,-43.400000,0.000000,top
"U5","PAM8403","so-16",148.594000,-41.710499,90.000000,top
"U20","LM2596T-5","TO-263-5_TabPin3",67.600000,-116.400000,180.000000,top
